,id,location,morphology,ra,dec,x,y,p_sph,p_disk,p_irr,p_ps,real_x,real_y
413,415,"[2410, 2199]","[0.04553980035522299, 0.0001787782379673403, 4.469511292516031e-05, 0.9542367262938846]",110.80424846830887,-73.44235062145161,2199.0,2410.0,0.04553980035522299,0.0001787782379673403,4.469511292516031e-05,0.9542367262938846,2999.0,3210.0
414,416,"[2416, 2180]","[4.578718943863113e-05, 0.9896440321058261, 0.009909387297759439, 0.00040079340697586065]",110.8053598226195,-73.44225077343889,2180.0,2416.0,4.578718943863113e-05,0.9896440321058261,0.009909387297759439,0.00040079340697586065,2980.0,3216.0
415,417,"[2415, 1789]","[0.05464481063946639, 3.5557792676593505e-05, 0.005465786076505215, 0.9398538454913518]",110.8282267899968,-73.4422692604257,1789.0,2415.0,0.05464481063946639,3.5557792676593505e-05,0.005465786076505215,0.9398538454913518,2589.0,3215.0
416,418,"[2423, 1702]","[0.954156199700733, 0.00032260038919629296, 0.00019551489876071495, 0.045325685011309985]",110.83331484442907,-73.4421359930669,1702.0,2423.0,0.954156199700733,0.00032260038919629296,0.00019551489876071495,0.045325685011309985,2502.0,3223.0
417,419,"[2438, 601]","[0.0029010361585020336, 0.5015686065749974, 0.4833483553971325, 0.01218200186936813]",110.89770355997385,-73.44187616369565,601.0,2438.0,0.0029010361585020336,0.5015686065749974,0.4833483553971325,0.01218200186936813,1401.0,3238.0
418,420,"[2430, 2271]","[0.9060208879246279, 0.08516763782939328, 0.004350941461708426, 0.004460532784270407]",110.8000383010596,-73.44201665887904,2271.0,2430.0,0.9060208879246279,0.08516763782939328,0.004350941461708426,0.004460532784270407,3071.0,3230.0
419,421,"[2432, 1628]","[-2.395378263545217e-06, 0.44448023777494877, 0.5539123213920217, 0.0016098362112930693]",110.83764254326165,-73.44198595204675,1628.0,2432.0,-2.395378263545217e-06,0.44448023777494877,0.5539123213920217,0.0016098362112930693,2428.0,3232.0
420,422,"[2447, 819]","[0.0009888488800502766, 5.7985120025505005e-05, 4.449584546567339e-05, 0.9989086701544585]",110.88495403237584,-73.44172967942812,819.0,2447.0,0.0009888488800502766,5.7985120025505005e-05,4.449584546567339e-05,0.9989086701544585,1619.0,3247.0
421,423,"[2444, 1861]","[0.0, 0.8689138557134786, 0.12987359804631307, 0.0012125462402083674]",110.824016256354,-73.4417857791866,1861.0,2444.0,0.0,0.8689138557134786,0.12987359804631307,0.0012125462402083674,2661.0,3244.0
422,424,"[2456, 1371]","[0.0, 0.9957994868284872, 0.00263028590893415, 0.0015702272625786316]",110.85267206785291,-73.44158511603513,1371.0,2456.0,0.0,0.9957994868284872,0.00263028590893415,0.0015702272625786316,2171.0,3256.0
423,425,"[2461, 2058]","[0.9609614722497378, 0.03402763496264547, 0.0017450959473069984, 0.003265796840309712]",110.8124957097012,-73.44150160907733,2058.0,2461.0,0.9609614722497378,0.03402763496264547,0.0017450959473069984,0.003265796840309712,2858.0,3261.0
424,426,"[2471, 1918]","[0.0061083176918299035, 0.3186966073634503, 0.6651574224107588, 0.010037652533960977]",110.82068313739101,-73.44133560215914,1918.0,2471.0,0.0061083176918299035,0.3186966073634503,0.6651574224107588,0.010037652533960977,2718.0,3271.0
425,427,"[2477, 1306]","[0.00032552205132287934, 0.9755842847047799, 0.002151432083745598, 0.021938761160151636]",110.85647286158513,-73.44123473399111,1306.0,2477.0,0.00032552205132287934,0.9755842847047799,0.002151432083745598,0.021938761160151636,2106.0,3277.0
426,428,"[2475, 1214]","[0.7868737864979216, 0.1946218172342489, 0.018455461584997127, 4.8934682832309605e-05]",110.86185305953411,-73.44126740876796,1214.0,2475.0,0.7868737864979216,0.1946218172342489,0.018455461584997127,4.8934682832309605e-05,2014.0,3275.0
427,429,"[2476, 1150]","[0.0, 0.9582862047315928, 0.04143942932111693, 0.00027436594729026136]",110.86559574294674,-73.44125020258389,1150.0,2476.0,0.0,0.9582862047315928,0.04143942932111693,0.00027436594729026136,1950.0,3276.0
428,430,"[2482, 1261]","[0.8330855820564493, 0.039769080277077026, 0.015913829138894425, 0.11123150852757921]",110.85910432775262,-73.44115109579639,1261.0,2482.0,0.8330855820564493,0.039769080277077026,0.015913829138894425,0.11123150852757921,2061.0,3282.0
429,431,"[2493, 2156]","[0.9649871733452607, 0.0007292368958484114, 0.001894181329610538, 0.0323894084292803]",110.80676543526184,-73.44096762385502,2156.0,2493.0,0.9649871733452607,0.0007292368958484114,0.001894181329610538,0.0323894084292803,2956.0,3293.0
430,432,"[2501, 2342]","[0.21353482556929224, 0.4997760648630603, 0.28645737056114534, 0.00023173900650209288]",110.79588865660061,-73.44083262252292,2342.0,2501.0,0.21353482556929224,0.4997760648630603,0.28645737056114534,0.00023173900650209288,3142.0,3301.0
431,433,"[2511, 1612]","[1.3967025746879696e-05, 0.8465275670979637, 0.15344576534485768, 1.2700531431719133e-05]",110.8385778683344,-73.44066926484057,1612.0,2511.0,1.3967025746879696e-05,0.8465275670979637,0.15344576534485768,1.2700531431719133e-05,2412.0,3311.0
432,434,"[2514, 1856]","[0.0005372422356115285, 0.99183011383821, 0.0032400506618106874, 0.004392593264367872]",110.82430929370231,-73.44061912559921,1856.0,2514.0,0.0005372422356115285,0.99183011383821,0.0032400506618106874,0.004392593264367872,2656.0,3314.0
433,435,"[2514, 1578]","[0.9835086873191092, 0.0012864717633896184, 0.0009310956147410831, 0.01427374530276008]",110.84056609531741,-73.44061920718924,1578.0,2514.0,0.9835086873191092,0.0012864717633896184,0.0009310956147410831,0.01427374530276008,2378.0,3314.0
434,436,"[2514, 802]","[3.1604180589182325e-05, 0.8986847517395639, 0.09988763588303029, 0.0013960081968166916]",110.8859447790518,-73.44061276699152,802.0,2514.0,3.1604180589182325e-05,0.8986847517395639,0.09988763588303029,0.0013960081968166916,1602.0,3314.0
435,437,"[2526, 2036]","[0.7227933192709297, 0.006429536909988376, 0.07300458171955394, 0.19777256209952793]",110.8137835390346,-73.44041840070383,2036.0,2526.0,0.7227933192709297,0.006429536909988376,0.07300458171955394,0.19777256209952793,2836.0,3326.0
436,438,"[2533, 1388]","[0.005907453571267559, 0.07729174190345905, 0.9167371222446274, 6.368228064588475e-05]",110.8516765204515,-73.44030187140105,1388.0,2533.0,0.005907453571267559,0.07729174190345905,0.9167371222446274,6.368228064588475e-05,2188.0,3333.0
